Сургалтын_төлөвлөгөөний_дугаар,Хөтөлбөрийн_дугаар,Сургалтын_төлөвлөгөө,Хөтөлбөрийн_нэр,Хөтөлбөр_Батлагдсан_он
1e50a717c4febd75e03b348b0be851fa,07c74f614a24294cfc230d83dc6e5d2e,2022,Хичээл солилцооны хөтөлбөр,2021
7a50d83a1e70e9d96c3357438aed7a44,eb8f1fff473dad02daf00f34dbf651c7,2022,Хичээл солилцооны хөтөлбөр,2021
ec0bfd000f253eff3acb1043e1c06979,03a3a4d48590b7eab04cbb530b97cd0b,2015,Эрх зүй,2015
c5d9256689c43036581f781c61f26e50,03a3a4d48590b7eab04cbb530b97cd0b,2016,Эрх зүй,2015
32fdab6559cdfa4f167f8c31b9199643,03a3a4d48590b7eab04cbb530b97cd0b,2018,Эрх зүй,2015
2067e2650cd701ae71c68080f9dbbdc1,03a3a4d48590b7eab04cbb530b97cd0b,2019,Эрх зүй,2015
5dbc8390f17e019d300d5a162c3ce3bc,03a3a4d48590b7eab04cbb530b97cd0b,2023,Эрх зүй,2015
907edb0aa6986220dbffb79a788596ee,084c51d74fe69a0307d07b3e8e80f889,2017,ХЗС-ийн иргэнд зориулсан сургалт,2017
f356355c1634839cf42769e7f30905a3,d5265c8eaab5d2a3c8950229ad84bfa8,2013,Эрх зүй,2020
7e6ff0205749bc6025b51155e26f6ced,4e1580dbff6ba8a3fb8a667389991330,2022,ХЗС-ийн иргэнд зориулсан сургалт,2022
cc384c68ad503482fb24e6d1e3b512ae,2d660cb222773f3f71f68a75d44c06df,2022,ХЗС-ийн Иргэнд зориулсан сургалт,2022
853bb47a93581ead37b1bcd749d34787,08cda327d5a2d024772f420f85152d0f,2014,Эрх зүй,2023
d2a452edff079ca6980edcf54cc49945,887ad2f99171b115fe403a53769ca57c,2014,Эрх зүй,2023
d02e9bdc27a894e882fa0c9055c99722,1a9946a245d22beb2079b4b6abb237be,2015,Эрх зүй,2023
43c656628a4a479e108ed86f7a28a010,6d90ede1f2aed112bb7557b266777bf4,2014,Олон улсын эрх зүй,2023
033daef61ea8721921fbbeebb6f87313,84bbc5bb7bb5794d54f7760e35ef34fa,2014,Олон улсын эрх зүй,2023
07bb5fdef1ee99d35eaccce14f8b5540,9b6f7f3f6a1e1fb745f869d0b3b3d255,2023,ХЗС-ийн иргэнд зориулсан сургалт,2023
077b83af57538aa183971a2fe0971ec1,e9045211a5d993a3c7cbd0d1d7679683,2023,Эрх зүй /Орой/,2023
5a29503a4909fcade36b1823e7cebcf5,141e4ed6941c64ad2db564edef9833c2,2023,Эрх зүй /Эчнээ/,2023
b4baaff0e2f11b5356193849021d641f,8b2bde91c3c6d90e9a252377289ad843,2014,Бизнесийн сургуулийн ерөнхий суурь хөтөлбөр,2014
2bd235c31c97855b7ef2dc8b414779af,ba459ca334c9628a01f3f08a426f6ca7,2014,Маркетинг,2014
8c9a14ffebb7677d033ffce847991293,ba459ca334c9628a01f3f08a426f6ca7,2016,Маркетинг,2014
7261925973c9bf0a74d85ae968a57e5f,ba459ca334c9628a01f3f08a426f6ca7,2023,Маркетинг,2014
810462d01f318bd13e628a77fc3f92c0,ba459ca334c9628a01f3f08a426f6ca7,2023,Маркетинг,2014
7edfd52220e2032e7281061c82401195,071b05f038f41cdaf10e584de6ee2e19,2014,Худалдаа,2014
86b20716fbd5b253d27cec43127089bc,071b05f038f41cdaf10e584de6ee2e19,2016,Худалдаа,2014
aa0d2a804a3510442f2fd40f2100b054,071b05f038f41cdaf10e584de6ee2e19,2023,Худалдаа,2014
c10f48884c9c7fdbd9a7959c59eebea8,071b05f038f41cdaf10e584de6ee2e19,2023,Худалдаа,2014
