Төлөвлөгөөний_дугаар,Сургалтын_төлөвлөгөө,Сургалтын_төрөл,Хичээлийн_дугаар,Хичээлийн_нэр,Залгамж_хичээлийн_дугаар,Залгамж_хичээлийн_нэр
7967cc8e3ab559e68cc944c44b1cf3e8,Антропологи - 2023,Өдрийн сургалт,5735438d64589c7672b1b246cc3b2b24,"Эрх мэдэл, хүчний антропологийн судалгаа",a9ddacdd8891788c87fb2a7f31fa1ca0,"Антропологи, этнографийн судалгааны арга зүй "
70821a40b06f8751781d5a895357da67,Археологи - 2023,Өдрийн сургалт,4ea59864816087bb60d6e5680c047a5e,Археологийн судалгааны арга зүй,be9abc9bf1e0e873174ec50b60542e34,Археологийн үндэс (Ерөнхий суурь)
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,4cfe804ab5bc1f2ac54c79f28740453c,MICE аялал жуулчлал,b3f634f6e02425702178395dfe6f062a,Эвент аялал жуулчлал
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,8b2239fca6fd9c03161a015801fe0b43,Адал явдлын аялал жуулчлал,1474b89337c66907c36ed7c6c82c592f,Жуулчны зорих газрын удирдлага
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,449ddfa2100f691195ad1b10e5bcd846,Аялал жуулчлалын антропологи,4cfbfb28ee66aceab7be17065ebdb6e5,Монголын аялал жуулчлал
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,c0f9e3a82853383bf86339603c2f0996,"Аялал жуулчлалын байгууллагын стратеги, төлөвлөлт",a4bc1acae2885ea0d451432596856363,Тур операторын удирдлага
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,cc89fc920377c87391a39567f6166676,Аялал жуулчлалын бүс нутаг төлөвлөлт,d59ec4d93d959f651ed743c75192723e,Аялал жуулчлалын эрх зүй 
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,cc89fc920377c87391a39567f6166676,Аялал жуулчлалын бүс нутаг төлөвлөлт,4cfbfb28ee66aceab7be17065ebdb6e5,Монголын аялал жуулчлал
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,9cc03ce5c1ea026ca10e9f83572a0200,Аялал жуулчлалын инноваци ба мультимедиа,a4bc1acae2885ea0d451432596856363,Тур операторын удирдлага
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,81452dc1589504edc2134b4b0c9d40fc,Аялал жуулчлалын судалгааны аргазүй ,4d612ec00583838471ceff508d9f67c7,Аялал жуулчлалын удиртгал 
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,1474b89337c66907c36ed7c6c82c592f,Жуулчны зорих газрын удирдлага,cd6274314204f0b7342f35ae9dfa0165,Дэлхийн аялал жуулчлал 
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,1474b89337c66907c36ed7c6c82c592f,Жуулчны зорих газрын удирдлага,99d3d91c1f066b1b837f95a5162d722b,Хариуцлагатай аялал жуулчлал
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,38b6ab474442cca618cc9ef22dce6e02,Монголын палеонтологи,c054543302f7e03e186bb87adaecf20f,Монголын физик газарзүй
952575f59148e0a9ceb364fdba14f8c5,Аялал жуулчлал - 2019,Өдрийн сургалт,1eb4505084d87118b8c710ac96b97cb2,Рекрацийн газарзүй,99d3d91c1f066b1b837f95a5162d722b,Хариуцлагатай аялал жуулчлал
